Temperature,Pressure,CH4,CO,H2O,C2H6,CO2,N2
296.5831435079727,0.9611781992760098,0.001018896525567,2.83514010709e-05,0.005533123178156,1.2816942357e-06,0.01,0.781
289.89421257866496,0.7955984478130559,0.001018896525567,2.83514010709e-05,0.005011091062558397,1.2708867576909941e-06,0.01,0.781
283.2052816493572,0.65268748568367,0.001018896525567,2.83514010709e-05,0.002270967158888852,1.2590322497927745e-06,0.01,0.781
275.88574443715174,0.5295583881638174,0.001018896525567,2.83514010709e-05,0.0008273236950169104,1.2471777418945546e-06,0.01,0.781
267.21490804730837,0.4229259261895944,0.001018896525567,2.83514010709e-05,0.00021096504957494446,1.235323233996335e-06,0.01,0.781
258.48133276707466,0.33261941506448917,0.001018896525567,2.83514010709e-05,4.0193708113790355e-05,1.223468726098115e-06,0.01,0.781
246.58990000386092,0.25276127403279136,0.001018896525567,2.9806161470073307e-05,1.0254518998611137e-05,1.2116142181998954e-06,0.01,0.781
237.06795463585405,0.18998981015622007,0.001018896525567,3.155851700517415e-05,4.995094851696812e-06,1.1997597103016755e-06,0.01,0.781
233.19632536411004,0.14629992023516186,0.001018896525567,3.3310872540274995e-05,3.2743118576317827e-06,1.1879052024034559e-06,0.01,0.781
229.324696092366,0.11166728398109468,0.001018896525567,3.506322807537584e-05,2.363108565187637e-06,1.1551157904151915e-06,0.01,0.781
225.45306682062198,0.08444588425129185,0.001018896525567,3.681558361047668e-05,1.9500935585450825e-06,1.1170072845460944e-06,0.01,0.781
222.0388252167985,0.06360220200248327,0.001018896525567,3.8815900956713545e-05,1.5212928891859948e-06,1.0788987786769974e-06,0.01,0.781
220.75206570137613,0.04890246634241512,0.001018896525567,4.625945968211818e-05,9.7087012537099e-07,1.0407902728079004e-06,0.01,0.781
219.46530618595375,0.037484430423742554,0.001018896525567,5.370301840752284e-05,4.891016044980517e-07,1.0026817669388033e-06,0.01,0.781
218.17854667053138,0.0286423686435589,0.0010112030163754422,6.11465771329275e-05,2.0416577320497025e-07,9.645732610697063e-07,0.01,0.781
216.891787155109,0.021816273074907976,0.0010021461248371395,6.859013585833214e-05,9.798222575525842e-08,9.305261889360072e-07,0.01,0.781
215.60502763968663,0.016563075698651154,0.000993089233298837,7.805302045119763e-05,5.6646468964476666e-08,8.971295709584178e-07,0.01,0.781
214.31826812426425,0.01253328134173296,0.0009840323417605343,8.84529117283315e-05,4.0421653792919726e-08,8.637329529808283e-07,0.01,0.781
213.88535271024077,0.009630095324623767,0.000974954441773031,9.885280300546538e-05,3.561839096237373e-08,8.30336335003239e-07,0.01,0.781
213.72245637101864,0.007437587522694247,0.0009653877262474734,0.00010925269428259924,3.453854473563313e-08,7.969397170256494e-07,0.01,0.781
213.55956003179654,0.00574198997488324,0.0009558210107219157,0.00011965258555973312,3.5353066840902864e-08,7.6354309904806e-07,0.01,0.781
213.39666369257444,0.004431198607812994,0.000946254295196358,0.00013005247683686697,3.649494535794354e-08,7.375005552669052e-07,0.01,0.781
213.2337673533523,0.003418283302167305,0.0009366875796708003,0.0001453549609232708,3.82768614142349e-08,7.224622648569737e-07,0.01,0.781
213.0708710141302,0.002635861271609345,0.0009291784813523128,0.00016904490963779036,3.9509195398783984e-08,7.074239744470423e-07,0.01,0.781
