Temperature,Pressure,CO2,O2,H2O,CO,O3,CH4,N2O,N2
289.0,0.9590000000000001,0.01,0.0021,0.0138,1.8e-05,7.75e-09,0.0018,7.8e-09,0.781
288.35593220338984,0.9448305084745762,0.01,0.0021,0.013220338983050844,1.8e-05,7.956101694915256e-09,0.0018,7.8e-09,0.781
288.0,0.9338305084745763,0.01,0.0021,0.01275593220338983,1.8e-05,8.116101694915255e-09,0.0018,7.8e-09,0.781
288.0,0.9267457627118644,0.01,0.0021,0.012433898305084743,1.8e-05,8.219152542372882e-09,0.0018,7.8e-09,0.781
287.4237288135593,0.9196610169491526,0.01,0.0021,0.012169491525423728,1.8e-05,8.327966101694916e-09,0.0018,7.8e-09,0.781
287.0,0.9114745762711864,0.01,0.0021,0.011889830508474574,1.8e-05,8.45949152542373e-09,0.0018,7.795593220338983e-09,0.781
287.0,0.9011694915254237,0.01,0.0021,0.011567796610169491,1.8e-05,8.633389830508475e-09,0.0018,7.782711864406779e-09,0.781
286.49152542372883,0.8888305084745762,0.01,0.0021,0.011144067796610167,1.8e-05,8.868305084745764e-09,0.0018,7.759661016949152e-09,0.781
285.6949152542373,0.8744237288135593,0.01,0.0021,0.010664237288135594,1.8e-05,9.151525423728813e-09,0.0018,7.733898305084746e-09,0.781
284.4067796610169,0.8551016949152541,0.01,0.0021,0.010091016949152539,1.8e-05,9.537966101694918e-09,0.0018,7.708135593220339e-09,0.781
283.5593220338983,0.835779661016949,0.01,0.0021,0.009522203389830505,1.8e-05,9.942033898305087e-09,0.0018,7.677966101694915e-09,0.781
282.91525423728814,0.8173898305084745,0.01,0.0021,0.00898423728813559,1.8e-05,1.0333898305084748e-08,0.0018,7.647457627118644e-09,0.781
282.271186440678,0.8051525423728814,0.01,0.0021,0.0086364406779661,1.8e-05,1.0591525423728813e-08,0.0018,7.628135593220339e-09,0.781
281.6271186440678,0.7929152542372881,0.01,0.0021,0.008281186440677966,1.8e-05,1.0923728813559322e-08,0.0018,7.608813559322034e-09,0.781
280.96610169491527,0.7805254237288135,0.01,0.0021,0.007915762711864406,1.8e-05,1.1315254237288136e-08,0.0018,7.589152542372881e-09,0.781
279.6779661016949,0.7624915254237289,0.01,0.0021,0.0073747457627118635,1.8e-05,1.189491525423729e-08,0.0018,7.556949152542373e-09,0.781
278.6949152542373,0.7447627118644068,0.01,0.0021,0.0068611864406779655,1.8e-05,1.2474576271186442e-08,0.0018,7.524745762711864e-09,0.781
278.0508474576271,0.7273728813559321,0.01,0.0021,0.006378135593220338,1.8e-05,1.3054237288135595e-08,0.0018,7.492542372881356e-09,0.781
