Temperature,Pressure,CO2,O2,H2O,CO,O3,CH4,N2O,N2
288.2,1.013,0.0003795,0.209,0.007745,1.5e-07,2.66e-08,1.7e-06,3.2e-07,0.781
281.7,0.8988,0.0003795,0.209,0.006071,1.45e-07,2.931e-08,1.7e-06,3.2e-07,0.781
275.2,0.795,0.0003795,0.209,0.004631,1.399e-07,3.237e-08,1.7e-06,3.2e-07,0.781
268.7,0.7012,0.0003795,0.209,0.003182,1.349e-07,3.318e-08,1.7e-06,3.2e-07,0.781
262.2,0.6166,0.0003795,0.209,0.002158,1.312e-07,3.387e-08,1.7e-06,3.2e-07,0.781
255.7,0.5405,0.0003795,0.209,0.001397,1.303e-07,3.768e-08,1.7e-06,3.2e-07,0.781
249.2,0.4722,0.0003795,0.209,0.0009254,1.288e-07,4.112e-08,1.7e-06,3.2e-07,0.781
242.7,0.4111,0.0003795,0.209,0.000572,1.247e-07,5.009e-08,1.7e-06,3.2e-07,0.781
236.2,0.3565,0.0003795,0.209,0.0003667,1.185e-07,5.966e-08,1.7e-06,3.2e-07,0.781
229.7,0.308,0.0003795,0.209,0.0001583,1.094e-07,9.168e-08,1.7e-06,3.2e-07,0.781
223.3,0.265,0.0003795,0.209,6.996e-05,9.962e-08,1.313e-07,1.7e-06,3.2e-07,0.781
216.8,0.227,0.0003795,0.209,3.613e-05,8.964e-08,2.149e-07,1.7e-06,3.2e-07,0.781
216.7,0.194,0.0003795,0.209,1.906e-05,7.814e-08,3.095e-07,1.7e-06,3.2e-07,0.781
216.7,0.1658,0.0003795,0.209,1.085e-05,6.374e-08,3.846e-07,1.7e-06,3.2e-07,0.781
216.7,0.1417,0.0003795,0.209,5.927e-06,5.025e-08,5.03e-07,1.7e-06,3.2e-07,0.781
216.7,0.1211,0.0003795,0.209,5e-06,3.941e-08,6.505e-07,1.7e-06,3.2e-07,0.781
216.7,0.1035,0.0003795,0.209,3.95e-06,3.069e-08,8.701e-07,1.7e-06,3.2e-07,0.781
216.7,0.0885,0.0003795,0.209,3.85e-06,2.489e-08,1.187e-06,1.7e-06,3.2e-07,0.781
216.7,0.07565,0.0003795,0.209,3.825e-06,1.966e-08,1.587e-06,1.7e-06,3.2e-07,0.781
216.7,0.06467,0.0003795,0.209,3.85e-06,1.549e-08,2.03e-06,1.7e-06,3.2e-07,0.781
216.7,0.05529,0.0003795,0.209,3.9e-06,1.331e-08,2.579e-06,1.7e-06,3.2e-07,0.781
217.6,0.04729,0.0003795,0.209,3.975e-06,1.232e-08,3.028e-06,1.7e-06,3.2e-07,0.781
218.6,0.04047,0.0003795,0.209,4.065e-06,1.232e-08,3.647e-06,1.7e-06,3.2e-07,0.781
219.6,0.03467,0.0003795,0.209,4.2e-06,1.307e-08,4.168e-06,1.7e-06,3.2e-07,0.781
220.6,0.02972,0.0003795,0.209,4.3e-06,1.4e-08,4.627e-06,1.7e-06,3.2e-07,0.781
221.6,0.02549,0.0003795,0.209,4.425e-06,1.498e-08,5.118e-06,1.7e-06,3.2e-07,0.781
224.0,0.01743,0.0003795,0.209,4.575e-06,1.598e-08,5.803e-06,1.7e-06,3.2e-07,0.781
226.5,0.01197,0.0003795,0.209,4.725e-06,1.71e-08,6.553e-06,1.7e-06,3.2e-07,0.781
