Name: Rhyolite
Type: Rock
Class: Igneous
Subclass: Felsic
Particle Size: Solid
Sample No.: AP-936-10
Owner: United States Geological Survey, L. C. Rowan
Wavelength Range: All
Origin: Iberian Pyrite Belt, Spain
Collection Date: N/A
Description: Rhyolite, freshSample was Whole Rock Chips. Original ASTER Spectral Library name was usgs.perknic.rock.igneous.felsic.solid.rhy10.spectrum.txt
Lithology      Rhyolite
Sample#        AP-936-10
Chemistry
SiO2           79.85
Al2O3          11.20
Fe             0.95
CaO            0.20
TiO2           0.11
MnO            0.01
K2O            4.28
MgO            0.23
Na2O           2.97
P2O5           0.02
PPC            0.18
