Name: 68501.609
Type: Soil
Class: Lunar
Subclass: Highland
Particle Size: Fine
Sample No.: 68501_609
Owner: JHU
Wavelength Range: TIR
Origin: Apollo 16 landing site via the NASA Lunar Sample Repository at JohnsonSpace Center, Houston, TX.
Collection Date: N/A
Description:  This sample is one of a suite of relatively less aluminous soils at the Apollo 16 site, and has the oldest exposure age of the three soils of that suite (Is/FeO=85). Original ASTER Spectral Library name was jhu.becknic.soil.lunar.highlands.fine.68501.spectrum.txt
Measurement: Directional (10 degree) hemispherical reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units:Reflectance (percent)
First X Value: 14.0110
Last X Value:  2.0795
Number of X Values: 2124
Additional Information: none

14.0110	 0.6579
13.9730	 0.7192
13.9360	 0.8119
13.8990	 0.8227
13.8610	 0.7859
13.8240	 0.8040
13.7880	 0.8536
13.7510	 0.8649
13.7150	 0.8643
13.6790	 0.8807
13.6430	 0.9083
13.6070	 0.8829
13.5710	 0.8628
13.5360	 0.9164
13.5000	 0.9718
13.4650	 0.9734
13.4300	 0.9947
13.3960	 1.0354
13.3610	 1.0581
13.3270	 1.0690
13.2930	 1.0680
13.2590	 1.0774
13.2250	 1.0653
13.1910	 1.0509
13.1580	 1.0775
13.1240	 1.0990
13.0910	 1.0806
13.0580	 1.0665
13.0260	 1.0963
12.9930	 1.1538
12.9600	 1.1702
12.9280	 1.1764
12.8960	 1.2175
12.8640	 1.2360
12.8320	 1.2826
12.8000	 1.3552
12.7690	 1.4006
12.7370	 1.4793
12.7060	 1.5728
12.6750	 1.6328
12.6440	 1.7083
12.6140	 1.7926
12.5830	 1.8474
12.5520	 1.9014
12.5220	 1.9780
12.4920	 2.0428
12.4620	 2.0763
12.4320	 2.1242
12.4020	 2.1754
12.3730	 2.2066
12.3430	 2.2309
12.3140	 2.2704
12.2850	 2.3069
12.2560	 2.3208
12.2270	 2.3086
12.1980	 2.2966
12.1690	 2.3002
12.1410	 2.3068
12.1130	 2.2881
12.0840	 2.2688
12.0560	 2.2372
12.0280	 2.2147
12.0000	 2.2027
11.9730	 2.1863
11.9450	 2.1593
11.9180	 2.1426
11.8900	 2.1511
11.8630	 2.1581
11.8360	 2.1605
11.8090	 2.1498
11.7820	 2.1404
11.7550	 2.1537
11.7290	 2.1635
11.7020	 2.1605
11.6760	 2.1491
11.6500	 2.1475
11.6240	 2.1472
11.5980	 2.1623
11.5720	 2.1745
11.5460	 2.1549
11.5200	 2.1489
11.4950	 2.1736
11.4690	 2.1766
11.4440	 2.1775
11.4190	 2.1820
11.3940	 2.1834
11.3690	 2.1877
11.3440	 2.1784
11.3190	 2.1691
11.2940	 2.1736
11.2700	 2.1640
11.2450	 2.1749
11.2210	 2.1757
11.1970	 2.1583
11.1730	 2.1504
11.1490	 2.1435
11.1250	 2.1367
11.1010	 2.1396
11.0770	 2.1637
11.0540	 2.1832
11.0300	 2.1657
11.0070	 2.1578
10.9830	 2.1858
10.9600	 2.2085
10.9370	 2.2039
10.9140	 2.2104
10.8910	 2.2319
10.8680	 2.2512
10.8460	 2.2472
10.8230	 2.2501
10.8000	 2.2484
10.7780	 2.2392
10.7550	 2.2297
10.7330	 2.2062
10.7110	 2.1834
10.6890	 2.1620
10.6670	 2.1475
10.6450	 2.1494
10.6230	 2.1345
10.6020	 2.1053
10.5800	 2.0806
10.5580	 2.0575
10.5370	 2.0335
10.5160	 2.0306
10.4940	 2.0250
10.4730	 1.9807
10.4520	 1.9430
10.4310	 1.9320
10.4100	 1.8864
10.3890	 1.8477
10.3680	 1.8220
10.3480	 1.7928
10.3270	 1.7600
10.3060	 1.7273
10.2860	 1.6850
10.2660	 1.6615
10.2450	 1.6406
10.2250	 1.6035
10.2050	 1.5719
10.1850	 1.5730
10.1650	 1.5666
10.1450	 1.5536
10.1250	 1.5365
10.1060	 1.5082
10.0860	 1.4975
10.0660	 1.4933
10.0470	 1.4845
10.0270	 1.4774
10.0080	 1.4479
 9.9887	 1.4233
 9.9695	 1.4225
 9.9504	 1.4142
 9.9313	 1.4089
 9.9123	 1.4058
 9.8934	 1.4042
 9.8746	 1.4055
 9.8558	 1.4054
 9.8371	 1.4059
 9.8185	 1.4053
 9.7999	 1.4106
 9.7814	 1.3883
 9.7630	 1.3882
 9.7447	 1.3856
 9.7264	 1.3754
 9.7082	 1.3728
 9.6900	 1.3535
 9.6719	 1.3291
 9.6539	 1.3379
 9.6360	 1.3222
 9.6181	 1.2934
 9.6003	 1.2703
 9.5825	 1.2503
 9.5649	 1.2386
 9.5472	 1.2218
 9.5297	 1.2041
 9.5122	 1.1960
 9.4948	 1.1998
 9.4774	 1.1865
 9.4601	 1.1722
 9.4429	 1.1546
 9.4257	 1.1300
 9.4086	 1.1261
 9.3916	 1.1363
 9.3746	 1.1198
 9.3577	 1.1056
 9.3408	 1.0998
 9.3240	 1.0907
 9.3073	 1.0687
 9.2906	 1.0959
 9.2740	 1.1274
 9.2574	 1.1165
 9.2409	 1.0897
 9.2245	 1.0897
 9.2081	 1.1214
 9.1918	 1.1262
 9.1755	 1.1187
 9.1593	 1.1146
 9.1431	 1.1324
 9.1270	 1.1561
 9.1110	 1.1646
 9.0950	 1.1672
 9.0791	 1.1567
 9.0632	 1.1524
 9.0474	 1.1526
 9.0316	 1.1465
 9.0159	 1.1339
 9.0003	 1.1211
 8.9847	 1.1180
 8.9691	 1.1172
 8.9536	 1.1098
 8.9382	 1.1300
 8.9228	 1.1224
 8.9075	 1.0899
 8.8922	 1.0741
 8.8770	 1.0761
 8.8618	 1.0790
