Temperature;altitude
301,1111111111111;0,6096000435623097
286,031746031746;4,683492608020906
278,25396825396825;6,274878161670607
264,9206349206349;9,110784393803264
253,4920634920635;11,051485202428594
241,74603174603175;12,855509270603612
231,58730158730157;14,107925617359577
224,76190476190476;16,109341392360257
218,88888888888889;19,481336273789097
215,23809523809524;22,50646628005118
212,85714285714286;25,5294181709276
208,57142857142856;28,761469138827625
205,23809523809524;31,237169539056328
200,79365079365078;34,94976721391815
197,61904761904762;38,93462931198779
195,23809523809524;42,43785564540281
189,68253968253967;46,838465517710794
