Temperature;altitude
289,5280898876404;0,955165692007796
280,35955056179773;2,6705653021442473
273,34831460674155;3,918128654970758
264,71910112359546;5,477582846003898
256,2696629213483;6,959064327485379
247,1011235955056;8,20662768031189
236,49438202247188;9,376218323586741
227,3258426966292;10,935672514619881
221,93258426966293;14,600389863547761
217,97752808988764;17,641325536062375
213,84269662921346;20,604288499025344
208,80898876404493;23,411306042884988
203,7752808988764;26,296296296296298
197,6629213483146;29,49317738791423
191,91011235955057;34,17153996101365
192,80898876404493;37,992202729044834
195,14606741573033;41,812865497076025
195,5056179775281;46,72514619883041
