Pressure,Temperature,CO2,N2,O2,H2O,CO,C2H6,HCN,SO2,O3,CH4,N2O,NH3,CH3Cl
1.013,288.2,0.0003795,0.781,0.209,0.007745,1.5e-07,2e-09,1.7e-10,3e-10,2.66e-08,1.7e-06,3.2e-07,5e-10,7e-10
0.8988,281.7,0.0003795,0.781,0.209,0.006071,1.45e-07,2e-09,1.65e-10,2.74e-10,2.931e-08,1.7e-06,3.2e-07,5e-10,6.7e-10
0.795,275.2,0.0003795,0.781,0.209,0.004631,1.399e-07,2e-09,1.63e-10,2.36e-10,3.237e-08,1.7e-06,3.2e-07,4.63e-10,6.43e-10
0.7012,268.7,0.0003795,0.781,0.209,0.003182,1.349e-07,2e-09,1.61e-10,1.9e-10,3.318e-08,1.7e-06,3.2e-07,3.8e-10,6.22e-10
0.6166,262.2,0.0003795,0.781,0.209,0.002158,1.312e-07,1.98e-09,1.6e-10,1.46e-10,3.387e-08,1.7e-06,3.2e-07,2.88e-10,6.07e-10
0.5405,255.7,0.0003795,0.781,0.209,0.001397,1.303e-07,1.95e-09,1.6e-10,1.18e-10,3.768e-08,1.7e-06,3.2e-07,2.04e-10,6.02e-10
0.4722,249.2,0.0003795,0.781,0.209,0.0009254,1.288e-07,1.9e-09,1.6e-10,9.71e-11,4.112e-08,1.7e-06,3.2e-07,1.46e-10,6e-10
0.4111,242.7,0.0003795,0.781,0.209,0.000572,1.247e-07,1.85e-09,1.6e-10,8.3e-11,5.009e-08,1.7e-06,3.2e-07,9.88e-11,6e-10
0.3565,236.2,0.0003795,0.781,0.209,0.0003667,1.185e-07,1.79e-09,1.6e-10,7.21e-11,5.966e-08,1.7e-06,3.2e-07,6.48e-11,5.98e-10
0.308,229.7,0.0003795,0.781,0.209,0.0001583,1.094e-07,1.72e-09,1.6e-10,6.56e-11,9.168e-08,1.7e-06,3.2e-07,3.77e-11,5.94e-10
0.265,223.3,0.0003795,0.781,0.209,6.996e-05,9.962e-08,1.58e-09,1.6e-10,6.08e-11,1.313e-07,1.7e-06,3.2e-07,2.03e-11,5.88e-10
0.227,216.8,0.0003795,0.781,0.209,3.613e-05,8.964e-08,1.3e-09,1.6e-10,5.79e-11,2.149e-07,1.7e-06,3.2e-07,1.09e-11,5.79e-10
0.194,216.7,0.0003795,0.781,0.209,1.906e-05,7.814e-08,9.86e-10,1.6e-10,5.6e-11,3.095e-07,1.7e-06,3.2e-07,6.3e-12,5.66e-10
0.1658,216.7,0.0003795,0.781,0.209,1.085e-05,6.374e-08,7.22e-10,1.59e-10,5.59e-11,3.846e-07,1.7e-06,3.2e-07,3.12e-12,5.48e-10
0.1417,216.7,0.0003795,0.781,0.209,5.927e-06,5.025e-08,4.96e-10,1.57e-10,5.64e-11,5.03e-07,1.7e-06,3.2e-07,1.11e-12,5.28e-10
0.1211,216.7,0.0003795,0.781,0.209,5e-06,3.941e-08,3.35e-10,1.55e-10,5.75e-11,6.505e-07,1.7e-06,3.2e-07,4.47e-13,5.03e-10
